AANL
AASR
AKKD
ANCM
ANTH
ARAB
ARAM
ARME
ARTH
ARTV
ASLG
ASTR
BANG
BASQ
BCMB
BCSN
BIBL
BIOS
BUSE
BUSF
BUSH
BUSL
BUSS
BUSW
BUSX
CABI
CAPP
CATA
CCTS
CDIN
CHDV
CHEM
CHIN
CHRM
CHSS
CLAS
CLCV
CMES
CMLT
CMSC
CMST
CPNS
CRES
CRWR
CZEC
DVBI
DVPR
DVSC
EALC
ECEV
ECON
EEUR
EGPT
EMED
ENGL
ENST
EVOL
FINM
FNDL
FREN
GEEZ
GENE
GEOG
GEOR
GEOS
GNSE
GREK
GRMN
HCHR
HEBR
HGEN
HIJD
HIND
HIPS
HIST
HMRT
HREL
HUMA
IMMU
INRE
INST
ISLM
ISTP
ITAL
JAPN
JWSC
KAZK
KORE
LACS
LATN
LAWS
LGLN
LING
LLSO
MAEX
MALA
MAPH
MAPS
MARA
MATH
MEDC
MENG
MGCB
MICR
MLAP
MOGK
MOMN
MPCS
MPHY
MPMM
MSCA
MSTR
MUSI
NEAA
NEHC
NELG
NORW
NTSC
NURB
ORGB
PALI
PATH
PBHS
PBPL
PERS
PHIL
PHSC
PHYS
PLSC
POLI
PORT
PPHA
PRAC
PSCR
PSYC
RADI
RAME
REMS
RETH
RLIT
RLST
RUSS
SALC
SANS
SCTH
SLAV
SOCI
SOSC
SOSL
SPAN
SSAD
STAT
SUMR
SURG
SWAH
TAML
TAPS
TBTN
THEO
TLGU
TTIC
TURK
UGAR
URDU
UTEP
YDDH
